name,categories,estimated_duration,sigma,visit_duration_sim
Santa Barbara Zoo,"Zoos, Event Planning & Services, Venues & Event Spaces, Active Life",125.0,15.0,145.20985985992917
Sustainable Wine Tours,"Wine Tours, Hotels & Travel, Tours, Transportation, Wineries, Limos, Food, Arts & Entertainment",126.66666666666667,13.333333333333334,110.01199718615415
Mission Santa Barbara,"Churches, Arts & Entertainment, Museums, Religious Organizations, Landmarks & Historical Buildings, Public Services & Government",90.0,10.0,93.08912720675343
Captain Jack's Tours & Events,"Active Life, Wineries, Tours, Horseback Riding, Arts & Entertainment, Food, Hotels & Travel, Event Planning & Services, Wine Tours, Rafting/Kayaking",126.66666666666667,13.333333333333334,114.2216514432719
Stearns Wharf,"Public Services & Government, Landmarks & Historical Buildings, Local Flavor, Restaurants, Tours, Shopping, Shopping Centers, Seafood, Hotels & Travel, Boat Tours",62.5,7.5,48.71032479722054
Celebration Cruises,"Boating, Bars, Hotels & Travel, Boat Charters, Whale Watching Tours, Tours, Event Planning & Services, Nightlife, Active Life",126.66666666666667,13.333333333333334,140.4449311950946
Santa Barbara Botanic Garden,"Shopping, Museums, Arts & Entertainment, Home & Garden, Botanical Gardens, Nurseries & Gardening",90.0,10.0,85.88006436673734
Arroyo Burro Beach,"Parks, Beaches, Active Life",90.0,10.0,85.22074141684371
Santa Barbara County Courthouse,"Courthouses, Active Life, Event Planning & Services, Landmarks & Historical Buildings, Public Services & Government, Parks, Venues & Event Spaces",90.0,10.0,97.36014444102372
SB Buggie,"Tours, Motorcycle Rental, Scooter Rentals, Kids Activities, Car Rental, Bike Rentals, Hotels & Travel, Active Life",126.66666666666667,13.333333333333334,119.35409335222863
Santa Barbara Art Glass,"Event Planning & Services, Art Galleries, Education, Arts & Crafts, Arts & Entertainment, Tours, Kids Activities, Hotels & Travel, Party & Event Planning, Active Life, Art Tours, Art Schools, Art Classes, Hot Tub & Pool, Specialty Schools, Home Decor, Home & Garden, Glass Blowing, Shopping",90.0,10.0,98.28082144546629
Santa Barbara Adventure Company,"Tours, Boating, Hotels & Travel, Rafting/Kayaking, Parks, Travel Services, Active Life",90.0,10.0,82.7720130135502
DeeTours of Santa Barbara,"Limos, Transportation, Arts & Entertainment, Hotels & Travel, Local Flavor, Food, Wine Tours, Wineries, Tours",126.66666666666667,13.333333333333334,111.58530451660423
Cal Coast Adventures,"Paddleboarding, Active Life, Tours, Hotels & Travel, Surfing, Rafting/Kayaking, Bike Rentals, Fitness & Instruction, Trainers",126.66666666666667,13.333333333333334,92.40491541412673
Third Window Brewing,"Nightlife, Beer Gardens, Breweries, Food, Beer, Wine & Spirits",90.0,10.0,93.39012895843285
Jump On The School Bus,"Wedding Planning, Transportation, Party Bus Rentals, Wineries, Party & Event Planning, Local Flavor, Food, Wine Tours, Arts & Entertainment, Tours, Limos, Event Planning & Services, Hotels & Travel",126.66666666666667,13.333333333333334,120.03666426625668
Wine Edventures,"Hotels & Travel, Wine Tours, Food, Tours, Beer, Wine & Spirits",126.66666666666667,13.333333333333334,125.58096462792481
Segway of Santa Barbara,"Arts & Entertainment, Scooter Rentals, Bike Rentals, Hotels & Travel, Active Life, Local Services, Scooter Tours, Tours",126.66666666666667,13.333333333333334,117.22143439651316
Douglas Family Preserve,"Active Life, Parks",90.0,10.0,106.35193880803196
Wheel Fun Rentals - 24 E Mason St,"Active Life, Shopping, Hotels & Travel, Bikes, Paddleboarding, Local Flavor, Beach Equipment Rentals, Tours, Bike Rentals, Sporting Goods",90.0,10.0,85.40527093828702
Wine Canyon Tours,"Travel Services, Hotels & Travel, Wineries, Tours, Arts & Entertainment, Food, Event Planning & Services, Wine Tours",126.66666666666667,13.333333333333334,127.43681475385586
RockStar Transportation,"Hotels & Travel, Local Services, Taxis, Event Planning & Services, Transportation, Limos, Tours, Party Bus Rentals",126.66666666666667,13.333333333333334,133.11684450040255
Cloud Climbers Jeep Tours,"Tours, Hotels & Travel, Wine Tours",126.66666666666667,13.333333333333334,142.58800343934004
MOXI - The Wolf Museum Of Exploration + Innovation,"Children's Museums, Arts & Entertainment, Event Planning & Services, Venues & Event Spaces, Museums, Art Museums",90.0,10.0,86.39150625631592
India House,"Home & Garden, Home Decor, Restaurants, Shopping, Indian",90.0,10.0,91.15862255714441
Night Lizard Brewing Company,"Food, Breweries, Beer Gardens, Mediterranean, Nightlife, Restaurants",90.0,10.0,95.43489007392766
Movegreen,"Local Services, Shopping, Home Services, Movers, Home & Garden, Self Storage",90.0,10.0,82.3707546565765
Taste Santa Barbara Food Tours,"Food, Local Flavor, Hotels & Travel, Food Tours, Tours, Wine Tours, Walking Tours",126.66666666666667,13.333333333333334,144.09104289918753
Land and Sea Shark Tour,"Hotels & Travel, Tours",126.66666666666667,13.333333333333334,122.44107323282509
Santa Barbara Museum of Natural History,"Arts & Entertainment, Venues & Event Spaces, Public Services & Government, Active Life, Planetarium, Museums, Landmarks & Historical Buildings, Summer Camps, Event Planning & Services",90.0,10.0,77.74390960602281
Grapeline Wine Tours,"Tours, Hotels & Travel, Wineries, Wine Tours, Arts & Entertainment, Food",126.66666666666667,13.333333333333334,120.65161143868399
Santa Barbara Home Improvement Center,"Local Services, Home & Garden, Hardware Stores, Shopping, Knife Sharpening, Nurseries & Gardening, Paint Stores, Kitchen & Bath",90.0,10.0,72.9446516933644
Channel Islands Outfitters,"Whale Watching Tours, Hotels & Travel, Special Education, Specialty Schools, Active Life, Tours, Rafting/Kayaking, Travel Services, Education",126.66666666666667,13.333333333333334,112.62266165149722
Biergarten,"Nightlife, Beer Gardens, Restaurants, Pizza, Hot Dogs",90.0,10.0,102.47179443660123
Santa Barbara Museum of Art,"Art Museums, Arts & Entertainment, Specialty Schools, Art Schools, Museums, Education",90.0,10.0,78.91845522999354
Lotusland,"Local Services, Home & Garden, Community Service/Non-Profit, Shopping, Arts & Entertainment, Nurseries & Gardening, Botanical Gardens",90.0,10.0,77.50401154355787
Santa Barbara Museum of Natural History Sea Center,"Arts & Entertainment, Museums, Active Life, Aquariums",90.0,10.0,93.86724946103303
Santa Barbara Bikes To Go,"Historical Tours, Bike Rentals, Mountain Biking, Active Life, Bike tours, Fitness & Instruction, Tours, Hotels & Travel",62.5,7.5,58.304080416797866
Rancho Oso RV & Camping Resort,"Campgrounds, RV Parks, Hotels & Travel, Horseback Riding, Active Life",90.0,10.0,78.76085758510831
Santa Barbara Beach Horseback Rides,"Tours, Event Planning & Services, Beaches, Horseback Riding, Active Life, Hotels & Travel",90.0,10.0,93.08236129439376
Santa Barbara Sunrise RV Park,"Hotels & Travel, RV Parks",90.0,10.0,90.11334797309752
Sunset Kidd Sailing Cruises and Whale Watching,"Boating, Active Life, Hotels & Travel, Boat Charters, Event Planning & Services, Tours, Whale Watching Tours",126.66666666666667,13.333333333333334,146.34033678145823
Pete's Preferred Wine Tours,"Limos, Airport Shuttles, Hotels & Travel, Transportation, Wine Tours, Taxis, Tours",126.66666666666667,13.333333333333334,127.18792267454053
The Garden,"Trivia Hosts, Nightlife, Sports Bars, Beer Gardens, Event Planning & Services, Restaurants, Bars, Beer Bar",90.0,10.0,85.90324600887344
Wine Tasting Designated Drivers of Santa Barbara,"Food, Limos, Bars, Wineries, Tours, Wine Bars, Arts & Entertainment, Breweries, Hotels & Travel, Wine Tours, Transportation, Taxis, Nightlife",126.66666666666667,13.333333333333334,84.52213438114545
Preferred Limousine & Transportation,"Tours, Transportation, Airport Shuttles, Wine Tours, Hotels & Travel, Limos",126.66666666666667,13.333333333333334,108.8334199509063
Shoreline Park,"Parks, Active Life",90.0,10.0,93.10133989543309
Condor Express Whale Watching,"Whale Watching Tours, Hotels & Travel, Event Planning & Services, Boating, Active Life, Tours, Boat Charters",126.66666666666667,13.333333333333334,132.16767379168482
Eat This Shoot That!,"Wine Tours, Food Tours, Tours, Restaurants, Food, Arts & Entertainment, Hotels & Travel, Walking Tours",126.66666666666667,13.333333333333334,137.22454065008156
Eos Transportation,"Limos, Food, Tours, Taxis, Airport Shuttles, Hotels & Travel, Wineries, Transportation, Arts & Entertainment, Event Planning & Services, Party Bus Rentals, Public Transportation",126.66666666666667,13.333333333333334,104.27757269694354
I Bike Santa Barbara Wine Country Tours,"Hotels & Travel, Wine Tours, Bike tours, Mountain Biking, Bike Rentals, Wineries, Arts & Entertainment, Tours, Food, Fitness & Instruction, Active Life",126.66666666666667,13.333333333333334,138.10553537930576
Alice Keck Park Memorial Gardens,"Local Flavor, Botanical Gardens, Arts & Entertainment, Venues & Event Spaces, Event Planning & Services",90.0,10.0,98.3814273280401
Channel Islands Expeditions,"Hotels & Travel, Boating, Tours, Snorkeling, Active Life, Rafting/Kayaking, Whale Watching Tours",126.66666666666667,13.333333333333334,138.92407259665163
Moreton Bay Fig Tree,"Local Flavor, Public Services & Government, Landmarks & Historical Buildings",62.5,7.5,48.464119114416505
AutoCamp Santa Barbara,"Hotels & Travel, RV Dealers, RV Parks, RV Rental, Vacation Rentals, Event Planning & Services, Campgrounds, Automotive, Hotels",90.0,10.0,102.46757324368885
Santa Barbara Trolley,"Event Planning & Services, Wine Tours, Limos, Tours, Hotels & Travel, Transportation, Bus Tours, Historical Tours, Party Bus Rentals, Public Transportation",62.5,7.5,64.32887031893007
Alameda Park,"Active Life, Parks",90.0,10.0,79.42260946519542
WDC Kitchen & Bath - Santa Barbara,"Home & Garden, Kitchen & Bath, Shopping, Home Services, Local Services, Contractors, Appliances, Appliances & Repair, Mattresses",90.0,10.0,78.938172350151
Social Cycle,"Tours, Bar Crawl, Nightlife, Event Planning & Services, Party Bike Rentals, Hotels & Travel",126.66666666666667,13.333333333333334,109.72186569507406
SB Chauffeuring & Tours,"Transportation, Limos, Wine Tours, Tours, Airport Shuttles, Hotels & Travel",126.66666666666667,13.333333333333334,117.51195442606999
East Beach,"Parks, Active Life, Swimming Pools, Beaches",90.0,10.0,93.2043082130135
World Market,"Home Decor, Shopping, Home & Garden, Food, Beer, Wine & Spirits, Furniture Stores",90.0,10.0,86.3635030075889
Terra Sol Garden Center,"Home & Garden, Nurseries & Gardening, Shopping",90.0,10.0,90.37663905495928
Warbler Records & Goods,"Home Decor, Vinyl Records, Home & Garden, Shopping, Electronics Repair, Local Services, Books, Mags, Music & Video",90.0,10.0,97.91027419712343
Santa Barbara Classic Wine Tours,"Food, Wine Tours, Hotels & Travel, Wineries, Arts & Entertainment, Tours",126.66666666666667,13.333333333333334,122.93772119342613
Silk Road Transportation and Wine Tours,"Airports, Transportation, Event Planning & Services, Party Bus Rentals, Tours, Wine Tours, Limos, Hotels & Travel, Town Car Service, Airport Shuttles",126.66666666666667,13.333333333333334,138.36589015563783
Sears Santa Barbara,"Fashion, Shopping, Hardware Stores, Home & Garden, Appliances, Department Stores, Electronics",90.0,10.0,79.9138555862216
Target,"Shopping, Grocery, Fashion, Department Stores, Furniture Stores, Electronics, Home & Garden, Food",90.0,10.0,85.5827593208808
Cloud 10 Jump Club,"Trampoline Parks, Active Life, Party & Event Planning, Event Planning & Services, Gymnastics",90.0,10.0,90.24077979459584
Chumash Painted Cave State Historic Park,"Active Life, Parks, Public Services & Government, Landmarks & Historical Buildings",90.0,10.0,85.65161065618615
Stardust Sportfishing,"ATV Rentals/Tours, Hotels & Travel, Tours, Fishing, Active Life, Boating",126.66666666666667,13.333333333333334,130.06262628802097
FreeWalkingTourSB,"Tours, Historical Tours, Hotels & Travel, Walking Tours",62.5,7.5,56.838091353366764
Explore Wines Tour,"Tours, Arts & Entertainment, Transportation, Wineries, Hotels & Travel, Wine Tours, Food, Limos",126.66666666666667,13.333333333333334,124.48358124058038
Santa Barbara Taste,"Transportation, Tours, Hotels & Travel, Venues & Event Spaces, Wedding Planning, Party Bus Rentals, Event Planning & Services, Limos, Wine Tours",126.66666666666667,13.333333333333334,107.41136596496473
Enjoy The Mountain,"Motorcycle Rental, Tours, Hiking, Mountain Biking, ATV Rentals/Tours, RV Rental, Hotels & Travel, Arts & Entertainment, Active Life",126.66666666666667,13.333333333333334,128.45198022906106
Appellation Wine Tours,"Tasting Classes, Education, Wine Tasting Classes, Hotels & Travel, Tours, Wine Tours",126.66666666666667,13.333333333333334,116.02563405742748
Anthropologie,"Home & Garden, Home Decor, Women's Clothing, Fashion, Shopping",90.0,10.0,91.65839844071388
Rooted Vine Tours,"Tours, Wine Tours, Transportation, Arts & Entertainment, Food, Limos, Wineries, Hotels & Travel, Beer, Wine & Spirits",126.66666666666667,13.333333333333334,135.93049274452906
One Thousand Steps Beach,"Beaches, Active Life",90.0,10.0,87.45150369042786
Surf N Wear's Beach House,"Outdoor Gear, Fashion, Sporting Goods, Beach Equipment Rentals, Surf Schools, Hats, Shopping, Eyewear & Opticians, Souvenir Shops, Surf Shop, Swimwear, Men's Clothing, Active Life, Education, Specialty Schools, Women's Clothing",90.0,10.0,98.22585700422425
Elings Park,"Active Life, Playgrounds, Parks",90.0,10.0,93.98661164738074
Leadbetter Beach,"Active Life, Beaches",90.0,10.0,74.61650442177165
Mesa Lane Steps,"Beaches, Active Life",90.0,10.0,87.89745547963827
La Sumida Nursery,"Nurseries & Gardening, Shopping, Home & Garden",90.0,10.0,113.89398577035612
The Blue Door,"Home Services, Accessories, Home & Garden, Shopping, Used, Vintage & Consignment, Interior Design, Home Decor, Furniture Stores, Fashion, Antiques",90.0,10.0,93.56125373798673
SB Evolution Landscape,"Tree Services, Gardeners, Irrigation, Home Services, Landscaping, Masonry/Concrete",90.0,10.0,78.89194373394578
DIANI,"Fashion, Kitchen Supplies, Shoe Stores, Shopping, Women's Clothing, Home Decor, Home & Garden, Kitchen & Bath, Accessories",90.0,10.0,71.32579954641996
Ross Dress for Less,"Women's Clothing, Men's Clothing, Shopping, Discount Store, Home Decor, Department Stores, Fashion, Home & Garden",90.0,10.0,80.95024547629426
San Andres Hardware,"Shopping, Hardware Stores, Home & Garden",90.0,10.0,81.04450296823995
Santa Barbara Backroads Wine Tours,"Food, Arts & Entertainment, Wine Tours, Hotels & Travel, Wineries, Tours",126.66666666666667,13.333333333333334,137.7343468163372
Santa Barbara Design Center,"Flooring, Furniture Reupholstery, Local Services, Interior Design, Furniture Stores, Rugs, Shopping, Home Services, Home & Garden, Home Decor",90.0,10.0,77.49102195364827
Santa Barbara Historical Museum,"Museums, Arts & Entertainment",90.0,10.0,87.18491696385378
Luxe Transportation,"Party Bus Rentals, Event Planning & Services, Tours, Transportation, Limos, Wine Tours, Hotels & Travel",126.66666666666667,13.333333333333334,142.34376849944127
ABS Glass,"Home & Garden, Home Services, Automotive, Auto Parts & Supplies, Home Decor, Windows Installation, Auto Glass Services, Glass & Mirrors, Shopping",90.0,10.0,92.03690609427758
Sensational Pets,"Aquariums, Pet Services, Pet Sitting, Active Life, Pet Stores, Pets",120.0,10.0,137.30808688857798
Santa Barbara Harbor,"Event Planning & Services, Tours, Hotels, Hotels & Travel",126.66666666666667,13.333333333333334,121.47509460033541
Sophie's French Maids,"Home & Garden, Home Cleaning, Office Cleaning, Professional Services, Home Services, Shopping, Carpet Cleaning, Local Services, Window Washing",90.0,10.0,98.88853363087655
Santa Barbara Mattress,"Furniture Stores, Home & Garden, Mattresses, Shopping",90.0,10.0,105.73187309307501
El Presidio de Santa Bárbara State Historic Park,"Museums, Landmarks & Historical Buildings, Arts & Entertainment, Public Services & Government",90.0,10.0,98.40750110582503
Reid's Appliances,"Shopping, Appliances, Appliances & Repair, Home & Garden, Local Services",90.0,10.0,85.20576486279519
